theory_level basis_set n_notNaNs MedAE MAE RMSE MaxAE
M062X Apr-cc-pVTZ 427   4.4083   4.7468   5.3695  16.0294
M062X spAug-cc-pVTZ 430   4.5025   4.8456   5.4713  15.7566
M062X MTSmall 401   3.3791   3.7855   4.6036  15.8811
M062X AUG-cc-pVTZ 430   3.4824   3.9425   4.7002  14.7322
M062X cc-pVQZ 4506   2.4170   2.8927   7.1418 416.8765
M062X dAug-cc-pVTZ 429   3.2623   3.6976   4.4974  14.3456
M062X Apr-cc-pVQZ 4506   2.3741   2.9055   7.1562 416.9733
M062X TApr-cc-pVQZ 4506   2.3741   2.9055   7.1562 416.9733
M062X Def2QZVP 3756   3.6270   4.2254  10.6924 579.1044
M062X QZVP 3156   3.8592   4.4426  11.5323 579.0821
M062X spAug-cc-pVQZ 4506   2.4031   2.9641   7.1941 416.9411
M062X Def2QZVPP 3806   3.5747   4.1929  10.6243 579.0758
M062X AUG-cc-pVQZ 4506   2.4408  23.3532 889.7787 53133.6412
mPW3PBE DGTZVP 429   8.8043   8.5068   9.2370  16.1482
mPW3PBE TZVP 4505   3.3868   3.9532  10.9600 666.1054
mPW3PBE Def2TZVP 430   9.1859   9.7673  11.2795  22.9322
mPW3PBE cc-pVTZ 430  10.6731  10.9166  12.2815  22.8960
mPW3PBE Def2TZVPP 430  11.1680  11.4516  12.8419  24.1149
mPW3PBE TApr-cc-pVTZ 430  11.2820  11.4876  12.8544  24.3396
mPW3PBE EPR-III 430   9.9699  10.4556  11.9054  23.1133
mPW3PBE Apr-cc-pVTZ 430   9.2841   9.6912  11.0804  21.8174
mPW3PBE spAug-cc-pVTZ 430   8.9399   9.3747  10.8014  21.5810
mPW3PBE MTSmall 430  12.4035  12.6546  14.0034  25.2788
mPW3PBE AUG-cc-pVTZ 430   9.6911  10.1774  11.6210  22.7670
mPW3PBE cc-pVQZ 430  12.9457  13.2456  14.6295  26.7585
mPW3PBE dAug-cc-pVTZ 430   9.8940  10.3795  11.8282  23.0431
mPW3PBE Apr-cc-pVQZ 430  11.9961  12.3892  13.8059  25.8497
mPW3PBE TApr-cc-pVQZ 429  11.9440  12.3701  13.7840  25.8497
mPW3PBE Def2QZVP 428  11.3201  11.7876  13.2182  25.0699
mPW3PBE QZVP 430  11.3201  11.7643  13.2010  25.0699
mPW3PBE spAug-cc-pVQZ 430  11.7975  12.2047  13.6497  25.7257
mPW3PBE Def2QZVPP 430  11.3201  11.7643  13.2010  25.0699
mPW3PBE AUG-cc-pVQZ 430  12.2826  12.6872  14.1237  26.3539
OHSE2PBE DGTZVP 4501   3.6116   4.0357   9.9845 590.1943
OHSE2PBE TZVP 425   4.7302   5.2029   6.2903  25.0585
OHSE2PBE Def2TZVP 425   4.4044   5.4107   6.7877  16.7677
OHSE2PBE cc-pVTZ 425   5.0193   5.6691   7.0451  16.0322
OHSE2PBE Def2TZVPP 425   5.3931   6.2710   7.7327  17.4985
OHSE2PBE TApr-cc-pVTZ 410   5.1995   8.2603  47.7633 955.4748
OHSE2PBE EPR-III 425   5.1536   8.5232  53.1348 1084.6333
OHSE2PBE Apr-cc-pVTZ 425   4.4731   7.3280  46.0908 940.9652
OHSE2PBE spAug-cc-pVTZ 425   4.3238   7.2422  45.3150 924.9989
OHSE2PBE MTSmall 425   6.2032   6.9245   8.3715  18.3057
OHSE2PBE AUG-cc-pVTZ 425   4.8371   5.5874   6.9838  16.4069
OHSE2PBE cc-pVQZ 430   6.9516   9.8258  46.1672 938.2376
OHSE2PBE dAug-cc-pVTZ 425   4.8630   7.8668  45.6005 928.6268
OHSE2PBE Apr-cc-pVQZ 430   6.4706   7.2503   8.7793  19.6257
OHSE2PBE TApr-cc-pVQZ 425   6.5286   7.3016   8.8234  19.6257
OHSE2PBE Def2QZVP 430   5.7730   8.7053  44.3875 904.8579
OHSE2PBE QZVP 430   5.7730   8.7053  44.3875 904.8581
OHSE2PBE spAug-cc-pVQZ 425   6.4520   9.3272  44.2981 895.2097
OHSE2PBE Def2QZVPP 425   5.8882   8.7717  44.6462 904.8579
OHSE2PBE AUG-cc-pVQZ 430   6.8292  10.1154  53.1764 1086.2626
PBE1PBE DGTZVP 429   5.0164   5.1867   6.0672  14.6829
PBE1PBE TZVP 429   3.6553   4.1312   5.0784  16.4514
PBE1PBE Def2TZVP 430   6.3555   6.8313   8.3373  18.6748
PBE1PBE cc-pVTZ 430   6.7658   7.5805   9.0076  18.6380
PBE1PBE Def2TZVPP 430   7.1901   8.0403   9.5261  19.8317
PBE1PBE TApr-cc-pVTZ 426   7.4680   8.1066   9.5471  20.0888
PBE1PBE EPR-III 430   6.6915   7.2770   8.7710  18.8827
PBE1PBE Apr-cc-pVTZ 430   6.1565   6.6185   8.0372  17.6489
PBE1PBE spAug-cc-pVTZ 425   5.9695   6.4771   7.8994  17.4398
PBE1PBE MTSmall 430   8.3625   8.9744  10.4637  20.8668
PBE1PBE AUG-cc-pVTZ 430   6.4854   7.0641   8.5370  18.5703
PBE1PBE cc-pVQZ 430   9.1357   9.5922  11.1513  22.4930
PBE1PBE dAug-cc-pVTZ 430   6.5243   7.2187   8.7008  18.8293
PBE1PBE Apr-cc-pVQZ 430   8.4447   8.9496  10.5149  21.7273
PBE1PBE TApr-cc-pVQZ 430   8.4447   8.9492  10.5147  21.7273
PBE1PBE Def2QZVP 430   7.5318   8.2943   9.8391  20.7596
PBE1PBE QZVP 430   7.5318   8.2943   9.8392  20.7596
PBE1PBE spAug-cc-pVQZ 430   8.3048   8.8496  10.4231  21.6390
PBE1PBE Def2QZVPP 430   7.5318   8.2943   9.8392  20.7596
PBE1PBE AUG-cc-pVQZ 429   8.8267   9.3383  11.0395  44.6029
PBEh1PBE DGTZVP 4505   2.8085   3.5659   9.8924 597.5483
PBEh1PBE TZVP 429   7.5258   7.5349   8.6937  21.8562
PBEh1PBE Def2TZVP 428   4.0994   4.7756   5.9113  14.1727
PBEh1PBE cc-pVTZ 430   3.9154   4.6223   5.7028  13.0942
PBEh1PBE Def2TZVPP 430   3.8595   4.8644   6.0232  14.3865
PBEh1PBE TApr-cc-pVTZ 429   3.7808   4.7849   5.9116  14.5460
PBEh1PBE EPR-III 430   3.9930   4.7865   5.8935  13.8210
PBEh1PBE Apr-cc-pVTZ 430   3.9798   4.4267   5.3967  12.9545
PBEh1PBE spAug-cc-pVTZ 430   4.0263   4.4885   5.4569  13.4438
PBEh1PBE MTSmall 430   4.4783   5.2646   6.5426  15.3954
PBEh1PBE AUG-cc-pVTZ 430   3.8997   4.6241   5.6527  13.1194
